movie_title,year,genre_score,genre_split,scaled_audience_rating,studio_name
Percy Jackson & the Olympians: The Lightning Thief,2010,1.0,Action,0.53,20th Century Fox
Percy Jackson & the Olympians: The Lightning Thief,2010,1.0,Adventure,0.53,20th Century Fox
Percy Jackson & the Olympians: The Lightning Thief,2010,5.0,Comedy,0.53,20th Century Fox
Percy Jackson & the Olympians: The Lightning Thief,2010,0.0,Drama,0.53,20th Century Fox
Percy Jackson & the Olympians: The Lightning Thief,2010,0.0,Science Fiction,0.53,20th Century Fox
Percy Jackson & the Olympians: The Lightning Thief,2010,3.0,Fantasy,0.53,20th Century Fox
Please Give,2010,5.0,Comedy,0.64,Sony Pictures Classics
12 Angry Men (Twelve Angry Men),1957,0.0,Classics,0.97,Criterion Collection
12 Angry Men (Twelve Angry Men),1957,0.0,Drama,0.97,Criterion Collection
"20,000 Leagues Under The Sea",1954,1.0,Action,0.74,Disney
"20,000 Leagues Under The Sea",1954,1.0,Adventure,0.74,Disney
"20,000 Leagues Under The Sea",1954,0.0,Drama,0.74,Disney
"20,000 Leagues Under The Sea",1954,5.0,Kids,0.74,Disney
"20,000 Leagues Under The Sea",1954,4.0,Family,0.74,Disney
"10,000 B.C.",2008,1.0,Action,0.37,Warner Bros. Pictures
"10,000 B.C.",2008,1.0,Adventure,0.37,Warner Bros. Pictures
"10,000 B.C.",2008,0.0,Classics,0.37,Warner Bros. Pictures
"10,000 B.C.",2008,0.0,Drama,0.37,Warner Bros. Pictures
The 39 Steps,1935,1.0,Action,0.86,Gaumont British Distributors
The 39 Steps,1935,1.0,Adventure,0.86,Gaumont British Distributors
The 39 Steps,1935,0.0,Classics,0.86,Gaumont British Distributors
The 39 Steps,1935,-2.0,Mystery,0.86,Gaumont British Distributors
The 39 Steps,1935,-4.0,Suspense,0.86,Gaumont British Distributors
The Lost City,2005,0.0,Drama,0.64,Magnolia Pictures
Adam's Rib,1949,0.0,Classics,0.86,MGM Home Entertainment
Adam's Rib,1949,5.0,Comedy,0.86,MGM Home Entertainment
Adam's Rib,1949,1.0,Romance,0.86,MGM Home Entertainment
The Bridge of San Luis Rey,2005,0.0,Art House,0.35,Fine Line Features
The Bridge of San Luis Rey,2005,0.0,International,0.35,Fine Line Features
The Bridge of San Luis Rey,2005,0.0,Drama,0.35,Fine Line Features
The Bridge of San Luis Rey,2005,2.0,Faith,0.35,Fine Line Features
The Bridge of San Luis Rey,2005,2.0,Spirituality,0.35,Fine Line Features
Criminal,2004,0.0,Drama,0.57,Warner Bros. Pictures
Criminal,2004,-2.0,Mystery,0.57,Warner Bros. Pictures
Criminal,2004,-4.0,Suspense,0.57,Warner Bros. Pictures
Deep Blue,2005,0.0,Documentary,0.8,Miramax Flims
Deep Blue,2005,3.0,Special Interest,0.8,Miramax Flims
The Adventures of Robin Hood,1938,1.0,Action,0.89,Warner Bros.
The Adventures of Robin Hood,1938,1.0,Adventure,0.89,Warner Bros.
The Adventures of Robin Hood,1938,0.0,Classics,0.89,Warner Bros.
